Post URL,Primary Hashtag,Username,Caption,Top Comments,Scam?,Notes/Flag,category,Scam_clean,all_text,predicted
https://www.tiktok.com/@russell.leeds/video/7621947825911237921?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071,#financialfreedom,@russell.leeds,"I only pay myself a salary of £12,570 a year!
But my favourite way to pay myself is through debt 👀 All wealthy people do this 🤑
#propertyinvesting #property #financialfreedom #finance #debt",I don’t think it’s a flex to avoid tax,yes,Saying to avoid taxes,Financial,yes,"I only pay myself a salary of £12,570 a year!
But my favourite way to pay myself is through debt 👀 All wealthy people do this 🤑
#propertyinvesting #property #financialfreedom #finance #debt I don’t think it’s a flex to avoid tax #financialfreedom",no
https://www.tiktok.com/@thestewardshipcoach/video/7469229969042885931?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071,#financialfreedom,@thestewardshipcoach,"I always say, if you don’t tell your money where to go, you’re going to wonder where it went! A budget is simply giving your money an assignment. So regardless of your financial condition, you should always operate on a budget!

#thinkandgrowrich
#buildingblackwealth
#blackwealthmatters
#financialliteracy
#financialfreedom
#financialeducation
#financialstewardship
#groupeconomics
#generationalwealth
#stewardship #thestewardshipcoach #bible #jesus #leejenkins",Budget . I like the fact that you have scripture to back what you are saying,yes,Comment to get worksheet,Financial,yes,"I always say, if you don’t tell your money where to go, you’re going to wonder where it went! A budget is simply giving your money an assignment. So regardless of your financial condition, you should always operate on a budget!

#thinkandgrowrich
#buildingblackwealth
#blackwealthmatters
#financialliteracy
#financialfreedom
#financialeducation
#financialstewardship
#groupeconomics
#generationalwealth
#stewardship #thestewardshipcoach #bible #jesus #leejenkins Budget . I like the fact that you have scripture to back what you are saying #financialfreedom",no
https://www.tiktok.com/@adampalomeque/video/7292624325973118254?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071,#makemoneyonline,@adampalomeque,How to make $500 per day as a broke teenager #gohighlevel #saas #financialfreedom #makemoneyonline #agencylife #smma #businesstok,Basically smma,yes,Join group to learn,Financial,yes,How to make $500 per day as a broke teenager #gohighlevel #saas #financialfreedom #makemoneyonline #agencylife #smma #businesstok Basically smma #makemoneyonline,no
https://www.tiktok.com/@your.link.bestie/video/7566855377329884471?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071,#passiveincome,@your.link.bestie,it’s true #biosites #passiveincome #sidehustle #workfromhome,your biosite store says only 5 items have been sold that’s not even $1000 once much less every week,yes,Dm to learn more,Financial,yes,it’s true #biosites #passiveincome #sidehustle #workfromhome your biosite store says only 5 items have been sold that’s not even $1000 once much less every week #passiveincome,no
https://www.tiktok.com/@agtg.micah/video/7579670647152938253?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071,#daytrading,@agtg.micah,$200 to $20k in 30 days roadmap. #daytrading #daytrader #learnontiktok #nq #notfinancialadvice @E.GenoThomas,this is like the ICC strategy,yes,Others in comments saying dm to learn more,Financial,yes,$200 to $20k in 30 days roadmap. #daytrading #daytrader #learnontiktok #nq #notfinancialadvice @E.GenoThomas this is like the ICC strategy #daytrading,no
https://www.tiktok.com/@agtg.micah/video/7613212300937399582?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071,#daytrading,@agtg.micah,I’m blessed by God to teach you exactly how you can begin daytrading successfully even as a BEGINNER! #daytrading #daytrader #learnontiktok #notfinancialadvice #learntrading,God bless you.You are the only one on here who shows us exactly what to do.,yes,Comment to learn,Financial,yes,I’m blessed by God to teach you exactly how you can begin daytrading successfully even as a BEGINNER! #daytrading #daytrader #learnontiktok #notfinancialadvice #learntrading God bless you.You are the only one on here who shows us exactly what to do. #daytrading,no
https://www.tiktok.com/@hamzathealchemist/video/7567259096970169631?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071,#escapethe9to5,@hamzathealchemist,This Is How I Did It. #hamzathealchemist #escapethematrix #matrix #escapethe9to5 #identity,"Why do you have so little views ?? Your info is so on point

",yes,Link in bio,Financial,yes,"This Is How I Did It. #hamzathealchemist #escapethematrix #matrix #escapethe9to5 #identity Why do you have so little views ?? Your info is so on point

 #escapethe9to5",no
https://www.tiktok.com/@aaron_knightley/video/7577099408588803350?is_from_webapp=1&sender_device=pc&web_id=7579456402843764254,#escapethe9to5,@aaron_knightley,HOW TO ESCAPE YOUR 9 TO 5 JOB @Aaron Knightley Business #escapethe9to5 #entrepreneurship #escapetheratrace #employeetoentrepreneur #iquitmyjob,"Prove it
",yes,Just sells its programs,Financial,yes,"HOW TO ESCAPE YOUR 9 TO 5 JOB @Aaron Knightley Business #escapethe9to5 #entrepreneurship #escapetheratrace #employeetoentrepreneur #iquitmyjob Prove it
 #escapethe9to5",no
https://www.tiktok.com/@thenickfowler/video/7603477690737233165?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071,#onlinebusiness,@thenickfowler,online businesses for 2026 #contentcreator #socialmedia #creator #tiktokshopaffiliate #onlinebusiness,"Funny how the thing I ignored is now paying me $4,000 weekly.
",yes,Promoting businesses to start,Financial,yes,"online businesses for 2026 #contentcreator #socialmedia #creator #tiktokshopaffiliate #onlinebusiness Funny how the thing I ignored is now paying me $4,000 weekly.
 #onlinebusiness",no
https://www.tiktok.com/@andrilance/video/7293927658956639530?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071,#onlinebusiness,@andrilance,Do not do this #entrepreneur #highincomeskills #onlinebusiness #fyp #smma,"$3 an hour is crazy
",yes,Unethical; Don't pay taxes,Financial,yes,"Do not do this #entrepreneur #highincomeskills #onlinebusiness #fyp #smma $3 an hour is crazy
 #onlinebusiness",no
