Post URL,Primary Hashtag,Username,Caption,Top Comments,Scam?,Notes/Flag,category,Scam_clean,all_text,predicted
https://www.tiktok.com/@_theplantpalace/video/7615599426656095501?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071,#sidehustle,@_theplantpalace,"My fav 6 apps that will pay you to use them! 💰💸 #money #onlinemoney #sidehustle #weward #fetch @WeWard @Fetch @AttaPoll @Kalshi @Upside @Eureka Surveys Weward, use code (noblemonkey9021)
Eureka, use code (1Wesbr)
Fetch, use code (7kq6j8)
Upside, use code (c5xnpq)
Kalshi, to get $25 when you sign up!
https://kalshi.com/sign-up/?referral=1e4d3d4a-8b4c-4749-b76b-2e7f3852e79e&m=true
Freecash, Use code 4SGTL
Attapoll, use code (CACBY)",Did u try cash walk? I just downloaded it and weward. I just don’t want to waste my time if you don’t recommend it💞💞,no,Not advertising any course or group,Financial,no,"My fav 6 apps that will pay you to use them! 💰💸 #money #onlinemoney #sidehustle #weward #fetch @WeWard @Fetch @AttaPoll @Kalshi @Upside @Eureka Surveys Weward, use code (noblemonkey9021)
Eureka, use code (1Wesbr)
Fetch, use code (7kq6j8)
Upside, use code (c5xnpq)
Kalshi, to get $25 when you sign up!
https://kalshi.com/sign-up/?referral=1e4d3d4a-8b4c-4749-b76b-2e7f3852e79e&m=true
Freecash, Use code 4SGTL
Attapoll, use code (CACBY) Did u try cash walk? I just downloaded it and weward. I just don’t want to waste my time if you don’t recommend it💞💞 #sidehustle",yes
https://www.tiktok.com/@createwithfar/video/7620981062881037598?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071,#sidehustle,@createwithfar,It’s time to lock in 🔒 #internetmoney #sidehustlesuccess #appdeveloper #sidehustle,Lmaooo yeah no reason people shouldn’t be making 365k a year,no,Not asking to join group,Financial,no,It’s time to lock in 🔒 #internetmoney #sidehustlesuccess #appdeveloper #sidehustle Lmaooo yeah no reason people shouldn’t be making 365k a year #sidehustle,yes
https://www.tiktok.com/@maxtalkstech/video/7597978414821248287?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071,#sidehustle,@maxtalkstech,"Easiest beginner friendly side hustles. $200 study on Drinks, $225 on Vacation, and more. Online surveys and focus groups are an easy quick way to make money online. #sidehustle #sidehustles #remotework #sidehustleideas #remotejobs",The noise app is a killer side hustle. Only way I can survives as a stay at home mom,no,Free,Financial,no,"Easiest beginner friendly side hustles. $200 study on Drinks, $225 on Vacation, and more. Online surveys and focus groups are an easy quick way to make money online. #sidehustle #sidehustles #remotework #sidehustleideas #remotejobs The noise app is a killer side hustle. Only way I can survives as a stay at home mom #sidehustle",yes
https://www.tiktok.com/@mattgx.li/video/7588683819926998302?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071,#sidehustle,@mattgx.li,"literally the easiest side hustle for broke college students (or even 15 yr olds) 💸

I've been using Methods to stack UGC gigs that pay $30-$35 per video and it's changed the game. No applications, just approval. Download it and thank me later 👀

#UGC #SideHustle #MakeMoney #ContentCreator
#Methods6059z5a4",I LOVE YOU -a 15 year old who needs a job desperately 🥹✌️,no,Free,Financial,no,"literally the easiest side hustle for broke college students (or even 15 yr olds) 💸

I've been using Methods to stack UGC gigs that pay $30-$35 per video and it's changed the game. No applications, just approval. Download it and thank me later 👀

#UGC #SideHustle #MakeMoney #ContentCreator
#Methods6059z5a4 I LOVE YOU -a 15 year old who needs a job desperately 🥹✌️ #sidehustle",yes
https://www.tiktok.com/@techwithkayla_/video/7634577053538356510?is_from_webapp=1&sender_device=pc&web_id=7579456402843764254,#sidehustle,@techwithkayla_,Easiest way to make money online #howtomakemoney #howtomakemoneyonline #howtomakemoneyonlineforbeginners #sidehustle #sidehustleforbeginners,Omg thanks queen !,no,Normal account; not promoting anything; free; Not much engagement,Financial,no,Easiest way to make money online #howtomakemoney #howtomakemoneyonline #howtomakemoneyonlineforbeginners #sidehustle #sidehustleforbeginners Omg thanks queen ! #sidehustle,yes
https://www.tiktok.com/@officialnigellavers/video/7586168485043293461?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071,#sidehustle,@officialnigellavers,"Make passive 💰 on autopilot with Printify✨

This is one of my favorite ways to make money online and you can start for free!

‼️Comment “Ready” and I’ll send my free masterclass on digital marketing so you can see how i made $1.8M online in 3-years. 🚀

🔗 In my profile

🔥 Follow Me 👈

🙌 Like, share, & save

💬Let me know if you have any questions in the DMs or send me a message

#printify #earnmoneyonline #sidehustle #sidehustles #passiveincome","I have a questions, won’t printify take a cut and if so how much? Also what about copy right laws?",no,Free,Financial,no,"Make passive 💰 on autopilot with Printify✨

This is one of my favorite ways to make money online and you can start for free!

‼️Comment “Ready” and I’ll send my free masterclass on digital marketing so you can see how i made $1.8M online in 3-years. 🚀

🔗 In my profile

🔥 Follow Me 👈

🙌 Like, share, & save

💬Let me know if you have any questions in the DMs or send me a message

#printify #earnmoneyonline #sidehustle #sidehustles #passiveincome I have a questions, won’t printify take a cut and if so how much? Also what about copy right laws? #sidehustle",yes
https://www.tiktok.com/@joannalynneofficial/video/7616116707140193550?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071,#financialfreedom,@joannalynneofficial,The average American makes about $53K a year… but the average cost of living is closer to $70K. That gap is exactly why I started doing side hustles. There are real ways to make extra money without quitting your job. #s#sidehustlem#makemoneyonlinee#extraincomef#financialfreedomgigeconomy,"🤣🤣🤣🤣🤣🤣 I don’t even make 30,000 a year",no,Not promoting anything,Financial,no,"The average American makes about $53K a year… but the average cost of living is closer to $70K. That gap is exactly why I started doing side hustles. There are real ways to make extra money without quitting your job. #s#sidehustlem#makemoneyonlinee#extraincomef#financialfreedomgigeconomy 🤣🤣🤣🤣🤣🤣 I don’t even make 30,000 a year #financialfreedom",yes
https://www.tiktok.com/@brittanyybowen/video/7622524717336890637?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071,#financialfreedom,@brittanyybowen,Yall gotta start thinking outside of the box #investing #stocks #ai #financialfreedom #money,I open my Fidelity account and have 100$ on the account but it said I can only to penny something what do I do?,no,Not promoting anything,Financial,no,Yall gotta start thinking outside of the box #investing #stocks #ai #financialfreedom #money I open my Fidelity account and have 100$ on the account but it said I can only to penny something what do I do? #financialfreedom,yes
https://www.tiktok.com/@caashflow_academy/video/7561664435329305911?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071,#financialfreedom,@caashflow_academy,"Trading your time for money means exchanging the most valuable asset you have for something that can be gained and lost again. Time is the one currency you can never get back, and once it’s gone, it’s gone forever. Most people spend their lives trading hours for paychecks without realizing they’re giving away freedom, creativity, and purpose in the process. The wealthy understand that the goal isn’t to keep trading time for money, but to use money as a tool to buy back time. Build assets, systems, and streams of income that work without your constant effort. Every minute you free is a step closer to true independence. Protect your time like gold, because it’s the only resource that compounds into both success and fulfillment when used wisely.
•
•
•
•
•
#Caashflowacademy #caashflow2025 #motivation #inspiration #dreamstoreality #selfimprovement #successmindset #entreprenuer #financialliteracy #growth #mindset #successunfiltered #dailymotivation #timefreedom #wealthmindset #financialfreedom #investwisely #moneymastery #myrongolden",It’s all rigged against the poor,no,Not promoting anything,Financial,no,"Trading your time for money means exchanging the most valuable asset you have for something that can be gained and lost again. Time is the one currency you can never get back, and once it’s gone, it’s gone forever. Most people spend their lives trading hours for paychecks without realizing they’re giving away freedom, creativity, and purpose in the process. The wealthy understand that the goal isn’t to keep trading time for money, but to use money as a tool to buy back time. Build assets, systems, and streams of income that work without your constant effort. Every minute you free is a step closer to true independence. Protect your time like gold, because it’s the only resource that compounds into both success and fulfillment when used wisely.
•
•
•
•
•
#Caashflowacademy #caashflow2025 #motivation #inspiration #dreamstoreality #selfimprovement #successmindset #entreprenuer #financialliteracy #growth #mindset #successunfiltered #dailymotivation #timefreedom #wealthmindset #financialfreedom #investwisely #moneymastery #myrongolden It’s all rigged against the poor #financialfreedom",yes
https://www.tiktok.com/@abbyxconway/photo/7444659626181676330?is_from_webapp=1&sender_device=pc&web_id=7579456402843764254,#financialfreedom,@abbyxconway,"You’ll never catch me doing these 5 things 🫠

Get my FREE finance guide at the top of my page!!

#financetiktok #financialfreedom #creditcardpoints #investingforbeginners #hysa #financialliteracy #growyourmoney #buildwealth","A high yield savings account is like a financial cheat code!

",no,All of its free resources just are just links to reputable companies sources; Doesn't promote anything; Explicitly states price of everything,Financial,no,"You’ll never catch me doing these 5 things 🫠

Get my FREE finance guide at the top of my page!!

#financetiktok #financialfreedom #creditcardpoints #investingforbeginners #hysa #financialliteracy #growyourmoney #buildwealth A high yield savings account is like a financial cheat code!

 #financialfreedom",yes
https://www.tiktok.com/@rorydouglasofficial/video/7198198291190893866?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071,#financialfreedom,@rorydouglasofficial,"Start your financial freedom journey today! Follow these 7 simple steps and in 2023 you’ll be living financial freedom.

Get the financial education you need, develop the discipline necessary for reaching financial goals, and keep your mindset motivated towards happiness and joy.

Change starts with taking action - let’s start now! #financialfreedom #2023 #goals","Also educate yourself about personal finance topics such as budgeting, saving, investing, and managing debt 😁
",no,Not promoting anything,Financial,no,"Start your financial freedom journey today! Follow these 7 simple steps and in 2023 you’ll be living financial freedom.

Get the financial education you need, develop the discipline necessary for reaching financial goals, and keep your mindset motivated towards happiness and joy.

Change starts with taking action - let’s start now! #financialfreedom #2023 #goals Also educate yourself about personal finance topics such as budgeting, saving, investing, and managing debt 😁
 #financialfreedom",yes
https://www.tiktok.com/@markus.wisdom/video/7459020902492130606?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071 ,#makemoneyonline,@markus.wisdom,Everything you need is IN THIS VIDEO! Watch the full video to get started #contentcreation #passiveincome #sidehustle #makemoneyonline #makemoney #moneytips #financetiktok #socialmedia #makemoneyfromyourphone #,This is by far the most useful video for creating an ebook I've seen. I'll be following you for more tips,no,Not promoting anything,Financial,no,Everything you need is IN THIS VIDEO! Watch the full video to get started #contentcreation #passiveincome #sidehustle #makemoneyonline #makemoney #moneytips #financetiktok #socialmedia #makemoneyfromyourphone # This is by far the most useful video for creating an ebook I've seen. I'll be following you for more tips #makemoneyonline,yes
https://www.tiktok.com/@socialspark0/video/7209000931382365446?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071 ,#makemoneyonline,@socialspark0,start earning now!#appstomakemoney #makemoneyonline #makemoneyfromhome #buisnesstips #sidehustleideasforanyone #escapethematrix��,If it’s free you’re the product!,no,Free,Financial,no,start earning now!#appstomakemoney #makemoneyonline #makemoneyfromhome #buisnesstips #sidehustleideasforanyone #escapethematrix�� If it’s free you’re the product! #makemoneyonline,yes
https://www.tiktok.com/@tayrankine/video/7340442725482859822?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071,#makemoneyonline,@tayrankine,How i make passive income as a teen 💗 #printify #printondemand #sidehustle #sidehustleideas #makemoneyonline #makingmoneyonline #sidehustlesecrets #pod #printondemandtips #ecommerce #howtomakesixfigures #howtomakemoney #howtomakemoneyonline,,no,Free,Financial,no,How i make passive income as a teen 💗 #printify #printondemand #sidehustle #sidehustleideas #makemoneyonline #makingmoneyonline #sidehustlesecrets #pod #printondemandtips #ecommerce #howtomakesixfigures #howtomakemoney #howtomakemoneyonline  #makemoneyonline,yes
https://www.tiktok.com/@monetizewitheddie/video/7614023433269136671?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071,#makemoneyonline,@monetizewitheddie,Unpatched method fr #hustle #makemoneyonline #sidehustle #howtomakemoneyonline #ai,"Just hit my first $56k month at 18, God is great 🙏",no,Not promoting anything,Financial,no,"Unpatched method fr #hustle #makemoneyonline #sidehustle #howtomakemoneyonline #ai Just hit my first $56k month at 18, God is great 🙏 #makemoneyonline",yes
https://www.tiktok.com/@itsnikionline/video/7634035936602426655?is_from_webapp=1&sender_device=pc&web_id=7579456402843764254,#makemoneyonline,@itsnikionline,"none of these are super consistent yet but they have defo helped me stay afloat and have potential to turn into something bigger, which I am working towards 🙏🏽 #manifest #unemployed #jobsearch #sidehustle #makemoneyonline @Mercor",Ugh. 🥹 I'm $200 short on rent and trying my best to get gig work.,no,Not promoting anything; Giving advisory warnings,Financial,no,"none of these are super consistent yet but they have defo helped me stay afloat and have potential to turn into something bigger, which I am working towards 🙏🏽 #manifest #unemployed #jobsearch #sidehustle #makemoneyonline @Mercor Ugh. 🥹 I'm $200 short on rent and trying my best to get gig work. #makemoneyonline",yes
https://www.tiktok.com/@celenakinsey/video/7419777523032296750?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071,#makemoneyonline,@celenakinsey,"I just want to show you that not only is it possible to make a great side income through social media but I’m also showing you real time numbers I’ve made just this month off of some of these methods. Sometimes when I see creators share things like “I made 50k this month” it feels like a fake clickbait type thing and a lot of the time that’s not really reality. So these are all real numbers that ANYONE can hit once you start making content and putting effort into it.

Comment if you want to see more!

#socialmedia #socialmediatip #socialmediatips #contentcreator #contentcreation #makemoneyonline #makemoneyonsocialmedia",Can you teach me how to monetize on Instagram? Do you have to be invited like tiktok?,no,Not promoting anything,Financial,no,"I just want to show you that not only is it possible to make a great side income through social media but I’m also showing you real time numbers I’ve made just this month off of some of these methods. Sometimes when I see creators share things like “I made 50k this month” it feels like a fake clickbait type thing and a lot of the time that’s not really reality. So these are all real numbers that ANYONE can hit once you start making content and putting effort into it.

Comment if you want to see more!

#socialmedia #socialmediatip #socialmediatips #contentcreator #contentcreation #makemoneyonline #makemoneyonsocialmedia Can you teach me how to monetize on Instagram? Do you have to be invited like tiktok? #makemoneyonline",yes
https://www.tiktok.com/@finesse.themarket/video/7295740614316920106?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071,#forex,@finesse.themarket,Pro Trader Chris Cole explains what Forex is #forex #forextrading #trading #forextradingforbeginners #tradingmotivation #fyp #forextradingmotivation #tradingmotivation #daytradingforbeginners #tradingforbeginners #daytrading #howtostarttrading #daytradinglifestyle #daytradingmotivation #tradingpsychology #forextradingpsychology #internetmoney #tradinglifestyle #wealthmindset #millionairemindset,Where my Forex traders 💪🏾🔥,no,Not promoting anything,Financial,no,Pro Trader Chris Cole explains what Forex is #forex #forextrading #trading #forextradingforbeginners #tradingmotivation #fyp #forextradingmotivation #tradingmotivation #daytradingforbeginners #tradingforbeginners #daytrading #howtostarttrading #daytradinglifestyle #daytradingmotivation #tradingpsychology #forextradingpsychology #internetmoney #tradinglifestyle #wealthmindset #millionairemindset Where my Forex traders 💪🏾🔥 #forex,yes
https://www.tiktok.com/@tradewithpat/video/7513548736472026374?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071,#forex,@tradewithpat,"10 year Forex Trading Strategy in 42 seconds.

This is the scalping method I use every morning in my profitable live streams.

#trading #tradewithpat #forex #forexsignals #scalping",It blows my mind that he's not mentioning anesaurus (where beginners can just copy professionals and be profitable).,no,Not promoting anything,Financial,no,"10 year Forex Trading Strategy in 42 seconds.

This is the scalping method I use every morning in my profitable live streams.

#trading #tradewithpat #forex #forexsignals #scalping It blows my mind that he's not mentioning anesaurus (where beginners can just copy professionals and be profitable). #forex",yes
https://www.tiktok.com/@danielholmestrades/video/7470889753945132309?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071,#forex,@danielholmestrades,Buying from support #tradingstrategy #tradingsetup #trading #tradingadvice #forex #crypto,in replay mode everything is easy 😂,no,Not promoting anything,Financial,no,Buying from support #tradingstrategy #tradingsetup #trading #tradingadvice #forex #crypto in replay mode everything is easy 😂 #forex,yes
https://www.tiktok.com/@zktrades0/video/7570875822593084727?is_from_webapp=1&sender_device=pc&web_id=7560839346250647071,#forex,@zktrades0,That discretional “feeling” was my flip from unprofitable to profitable#forex #daytrading #crypto #stocks #futures,"You started trading at 12??👀

",no,Not promoting anything,Financial,no,"That discretional “feeling” was my flip from unprofitable to profitable#forex #daytrading #crypto #stocks #futures You started trading at 12??👀

 #forex",yes
https://www.tiktok.com/@nitrotrades/video/7634667029340949773?is_from_webapp=1&sender_device=pc&web_id=7579456402843764254,#forex,@nitrotrades,TOOOO EASSYY 🔥🔥🔥 #trading #stocks #investing #crypto #forex,"I really commend you for sharing your entire strategy from FREE. everybody is trying to selling what they know...
",no,Not giving recap of his trading; Not promoting anything; Promotes his strategy for free,Financial,no,"TOOOO EASSYY 🔥🔥🔥 #trading #stocks #investing #crypto #forex I really commend you for sharing your entire strategy from FREE. everybody is trying to selling what they know...
 #forex",yes
