Post URL,Primary Hashtag,Username,Caption,Top Comments,Scam?,Notes/Flag
https://www.tiktok.com/t/ZP8bGM8pY/,#MotoMetabolism,@thejimcoilys,"51 days till summer, time to lock in.","1) ""I'm down 14lbs in 12 days by lowering my alcohol consumption, and fasting 20 hours"" (688 likes)
2) ""if i buy these and don't get over this plateau imma be piisseedddd"" (418 likes)
3) Creator: ""I tried so many 'viral products' and none of them did a damn thing. THESE did "" (100 likes)",Yes,"TikTok Shop affiliate for MOTO Metabolism Booster. Uses ""51 days till summer"" urgency to drive sales. No scientific backing, no credentials. Top comment claims 14lbs in 12 days  not corrected by creator. Beauty account making metabolic claims."
https://www.tiktok.com/t/ZP8bsE7ag/,#weightlossjourney,@fitbymichaela,"Time to dive into some of the most common questions about The Root! If you've got any other questions you want me to tackle, feel free to drop them in the comments below!  Are you ready to kickstart your weight loss journey? Go to the top of my page to grab your supply today!","1) ""Been taking it for a month and a half and started at 218 now I'm at 205 "" (79 likes)
2) ""What's your website?""  Creator: ""Link in bio!""
3) ""how can I get this?"" (7 likes)
4) ""Please tell me you have a large supply... Looking to buy""",Yes,"Authorized Distributor for ""The Root"" supplement via stan.store. Before/after claiming 50lb weight loss. Bio is entirely sales-focused. Has a ""Detox symptoms"" playlist that frames side effects positively  classic MLM playbook. No credentials."
https://www.tiktok.com/t/ZP8bGLfVc/,#guthealth,@emthenutritionist,"GUT HEALTH TIPS EVERYONE SHOULD KNOW  AD Your gut is like a muscle you train in the gym. You build it slowly, you stay consistent, and you get more resilient over time. That is our whole approach behind @epetome_co use my personal founder code EMILY10 to try yourself and join our amazing community.","1) ""What's the recipe for the last meal! The salad"" (15 likes)
2) ""That comparison with training a muscle is a helpful way to think about it "" (10 likes)
3) ""Just wanted to say thank you, I just got your book and it changed the way I eat now "" (1 like)
4) nbpure: ""The gut thrives on consistency and predictability...""",No,"BSc Nutrition credential, book published. Labeled AD with promo code. No false claims, no pseudoscience language. Good example of legitimate sponsored content  transparent and evidence-based."
https://www.tiktok.com/t/ZP8bGNnQ1/,#kefir,@doctorsood,"Would you try kefir for bloating? Kefir contains diverse probiotic bacteria and yeasts that help rebalance the gut microbiome. When gut bacteria are imbalanced, excess fermentation can produce gas and abdominal distension. Clinical studies have shown improvements in bloating and flatulence after regular kefir intake. PMID: 36360671. VC: @mandanazarghami","1) ""made me shit at work "" (838 likes)
2) ""Kefir tastes so bad "" (577 likes)
3) ""Coconut Cult is very good for digestive health."" (103 likes)
4) ""Kefir cause stomach ache and heartburn. Stop drinking it"" (39 likes)",No,"Board Certified MD, verified. Cites actual PubMed study. Not selling anything. Educational content about kefir with no product push. Strong not-scam anchor for the dataset."
https://www.tiktok.com/t/ZP8bsoq1h/,#guthealth,@mariannas_pantry,5 realistic gut health tips that arent from an influencer getting paid thousands of dollars to tell you Bloom Greens powder healed their gut and cured their bloating. #guthealth #guthealthtiktok #guttok #digestion #stomachproblems,"1) Dlooski: ""1. Increasing your fiber intake 2. Eat more prebiotic foods 3. Drink enough water 4. Increase your daily movement 5. keep ur stress very low 6. Prioritize Sleep"" (9,000 likes)
2) ""Every time I try to increase fiber I blow up like a balloon "" (771 likes)
3) ""Mangos are a really good source of fiber as well and it's a superfood"" (402 likes)",No,"MS Nutrition + CSCS. Explicitly calls out Bloom Greens by name as a scam. Tips are all evidence-based (fiber, prebiotics, water, movement, stress, sleep). No product sold. One of the clearest anti-scam examples collected."
https://www.tiktok.com/t/ZP8bGScgr/,#guthealth,@healthwithcory,"Gut Food  Fermented foods like sauerkraut can help the population of good bacteria in the gut. (PMID: 34256014)  Prebiotic foods like kiwi fruit can help feed the healthy bacteria in your gut. (PMID: 30857316)  Bone broth naturally contains many compounds that are good for the gut. (PMID: 24965526, PMID: 2501227)  Polyphenol rich foods like blueberries can help the growth of good healthy bacteria in the gut.","1) ""What do cheez-its do"" (4,285 likes)
2) ""So basically eat fermented foods, fruit & bone broth !"" (4,275 likes)
3) ""You can eat kefir with bananas and blueberries in the morning. Then have bone broth at lunch or dinner"" (335 likes)
4) ""Sauerkraut "" (16 likes)",No,"Cites multiple PubMed studies. Post is purely educational about whole foods. Bio mentions Shop My Recommendations link, but this specific post isn't selling anything. Evidence-based, non-commercial framing."
https://www.tiktok.com/t/ZP8bGBgbE/,#gutcleanse,@anjana.dhimann,step one to being the HOTTEST & healthiest version of yourself is cleansing your gut psa!! #gutcleanse #guthealth #glowuptips #glowingskin #GlowUp,"1) ""Is there a place you recommend getting the sea moss from? Always wanted to try it"" (4 likes)
2) ""Where are your pyjamas from !?"" (5 likes)
3) ""can you drop which sea moss you use girly!! "" (2 likes)
4) ""If you have thyroid issues be careful with the sea moss. I believe it's hashimotos that can't have excess iodine and not Graves' disease. Talk with a dr first."" (1 like)",Yes,"No credentials  lifestyle/beauty influencer. Promotes sea moss as a cure-all (skin, hair, fatigue) with no backing. ""Cleansing your gut"" is a pseudoscience phrase. A commenter flags real thyroid/iodine risk, which the creator ignores."
https://www.tiktok.com/t/ZP8bGYd9s/,#detoxsmoothie,@smoothiesdetox,"My two favorite Green Detox Drink For Clear Skin & Weight Loss   Type ""Yes"" If You Want To Get The Secret Recipe. Don't worry, my plan is super easy to follow! Even for complete beginners  You'll just need a blender, the ingredients I've listed in the eBook shopping list, and then to follow the Step-by-Step guide I've written for you!  You can download full-plan from the link in my bio  #detoxsmoothie #detox #detoxsmoothie #smoothierecipes","1) ""Did you use just smoothies/juices or also the glp1 injections too loose weight"" (3 likes)  Creator: ""Download the smoothie recipe from our stories.""
2) ""Sure it wasn't also GLP-1 too?"" (2 likes)  Creator: ""Download the smoothie recipe from our stories now!""
3) ""I want to lose 40 in 6 months...""",Yes,"Wears scrubs but has no listed credentials. Engagement bait (""Type Yes for secret recipe""). Dodges GLP-1 questions twice in comments. Hop.c affiliate link for an eBook. ""DETOX 7 DAYS LOSE 2-3KG"" content pattern across the account."
https://www.tiktok.com/t/ZP8bGBD54/,#gurunanda,@hannahsahm,The rest of the world detoxes 2x a year - we are finally catching up!! The best price and complete kit that I've found for an adult detox cleanse. #gurunanda #detoxcleanse #wormwood #fulvicacid @GuruNanda LLC #gutcleanse #gurunandagutcleanse #cleanse #detox #guthealth #tiktokshopfinds #tiktokshopcreatorpicks #tiktokshop #tiktokshopsummertuneup #spotlightfinds #dealsforyoudays,"1) ""its pretty sad when we have to treat ourselves cause doctors are not reliable."" (892 likes)
2) ""directions need to be more instructive on how to use them... love the product though"" (183 likes)
3) ""yes, or you can just eat papaya seeds, or drink turmeric with black pepper. js"" (659 likes)",Yes,"Self-described ""Top 1% TikTok Shop Affiliate."" Sells GuruNanda Gutcleanse 2 Step Kit (52.3K sold). Claims product ""unalives"" parasites  fear-based framing. False claim that ""the rest of the world detoxes 2x a year."" No health credentials."
https://www.tiktok.com/t/ZP8bGMp7p/,#detox,@kaithegoddess,The #1 mistake ppl make while detoxing is not cleansing the  #iron #anemia #detox #circulatorysystem #herbs #redbloodcell,"1) ""Is burdock/sarsaparilla effective when taking it by capsules?"" (20 likes)
2) ""I just take chlorophyl."" (6 likes)
3) Herblends Holistic Farmacy: ""I detoxed with burdock, yellow dock, myrrh, goldenseal, my acne started drying up the next day. "" (180 likes)
4) ""I detoxed my blood and my hidradenitis supprativa literally disappeared in a day"" (9 likes)",Yes,"Self-titled ""Gut Health Coach,"" no medical credentials. ""Blood cleansing"" is pseudoscience. Bio funnels to paid Detox Academy. Comments contain dangerous misinformation (claims of curing hidradenitis suppurativa in a day) that goes uncorrected. Anti-medicine framing throughout."
https://www.tiktok.com/t/ZP8bGB35o/,#skincare,@emmasundaybest,Obviously not ALL skincare @GARNIER your micellar water has never let me down #skincare #skincareroutine #skincareproducts #skinproblems #grwm @sephora,"1) ""Tbh i feel its mostly genetics and diet"" (409 likes)
2) ""It's not a scam when people have acne.. or very dry skin.. it benefits alot of people"" (31 likes)
3) ""Skincare industry is propably a scam, cause they keep bringing more and more products claiming their product is better than anything else. However using skincare isn't a scam at all..."" (29 likes)",No,"Clickbait title but the post actually admits ""obviously not ALL skincare."" No product sold, no affiliate link. Lifestyle/mom creator. More opinion content than health scam. Tags Garnier and Sephora but no commission label visible."
https://www.tiktok.com/t/ZP8bG8RtJ/,#dermguru,@dermguru,"Skincare scams I wish more people knew about. Because I'm here as a derm to save your skin (and your wallet). So stop the cellulite cream (it doesn't work), neosporin (it causes allergic contact dermatitis), and chapsticks. Do you believe any of these scams?! Let me know in the comments below  #dermguru","1) ""What about aquaphor?"" (1 like)
2) ""What do you recommend for chap lips?"" (14 likes)  Creator: ""Vaseline! "" (24 likes)
3) ""What about Vaseline lip balm?"" (1 like)
4) ""Aquaphor is amazing for my lips...""",No,"Verified dermatologist, 1.7M followers. Disclaims ""No med advice"" in bio. Actively calling out bad skincare advice (cellulite cream, neosporin, chapstick). Not selling anything. Educational, consumer-protective."
https://www.tiktok.com/t/ZP8bGLc7Y/,#skincare,@jc.dombrowski,Yeah this is another #skincare scam i see everywhere! #skincaretips #Science #hydrafacial #beauty,"1) ""I love hydrafacial but it's def not worth $200+ a treatment. The boosters tho are MAGIC. My skin glows for at least a week."" (152 likes)
2) ""If hydrafacials were $50 I would be on board... for the price point better off saving your money for different procedures or better products""
3) ""Hydrafacial is the only thing that clears my acne. Those boosters are crazy too. Yall just haven't had one."" (60 likes)",No,"Cornell Marine Bio & Entomology background. Calling out HydraFacial as overpriced. No product links. ""Cosmetic Scientist Reacts"" series  debunking framing. Comments show organic pushback and discussion."
https://www.tiktok.com/t/ZP8bGdTyR/,#peelshot,@dermarkologist,"The shop sellers are MAD at me for calling out the peel shot scam. Yes, the Dr. Melaxin will ball up on itself, even on clean skin or gloves. This gloves demo was inspired by @James Welsh  who I saw it from first. Have you tried this product? What are your thoughts? Let me know  #peelshot #drmelaxin #dermatologist #skincareproducts","1) ""I have a feeling that the DR MELAXIN BRAND is a scam as a whole. I feel most TikTok shop products are just poor leveled products."" (14 likes)
2) ""Thank u im broke and gullible"" (36 likes)
3) ""This stuff is genuinely great for exfoliating... Does it extract deep pores? No. Does it remove surface level oils and dead skin cells? Yes and very well at that."" (13 likes)",No,"MD dermatologist, verified. Disclaims content is not medical advice. Calling out a TikTok Shop product (Dr. Melaxin peel shot) by name  consumer-protective. Not selling anything. Credits another creator transparently."
